ITEM_NAME,ITEM_SEQ,ITEM_IMAGE,SHAPE,COLOR,PRINT_FRONT,PRINT_BACK
비오펜연질캡슐(덱시부프로펜),200903482,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146031002845800195,2,5,58,322
카이로정,200903579,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NNuh6mJov1,1,0,59,46
덴탈에프정(옥수수불검화정량추출물),200903580,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900142,0,3,60,322
마이에신캡슐(은교산),200903585,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772284000000,1,2,61,322
미카몰정,200901403,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800116,1,0,62,2166
행심연질캡슐(은행엽건조엑스),200901575,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000009,2,5,63,322
알룬정,200901619,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800128,2,2,64,322
미니메이드정,200901620,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800131,2,2,65,322
리버플란연질캡슐,200901818,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800137,1,1,66,322
에코닉신정(클로닉신리시네이트),200902147,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800158,0,3,67,322
토넥스포르테캡슐,200902192,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706768099900101,1,2,68,322
헤파라이프연질캡슐350mg(밀크시슬열매건조엑스),200902207,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N9-UdVMReL,1,2,69,322
비타마인연질캡슐,200902212,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426411393800167,1,1,70,322
그날엔정,200902301,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700043,0,0,71,322
자베스카캡슐100밀리그램(미글루스타트),200902328,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1O7UMSVD8I4,1,0,72,322
이프렌에스연질캡슐(덱시부프로펜),200902364,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCmo,1,5,73,322
맥스비타플러스정,200902452,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400005,2,3,74,322
에델피스연질캡슐(디펜히드라민염산염),200902506,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MgMniIZaON,2,5,75,322
제이에스콜드정,200902577,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400017,1,2,76,322
코크린정,200902740,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6FiD,1,0,77,3926
오메콜캡슐,200902743,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400026,1,5,78,322
리드비타큐정,200902749,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400029,2,2,74,322
비타엔큐연질캡슐,200902791,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000015,1,1,79,322
카페그린정,200902801,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400047,2,5,48,2702
코프노캡슐,200902876,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400053,1,3,80,322
이젠이캡슐,200902884,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCfp,1,5,81,322
스프라이셀정50밀리그램(다사티닙),200701086,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500035,2,0,82,12873
에너지톤연질캡슐,200403661,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500043,1,1,83,322
토핀정25밀리그램(토피라메이트),200704968,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500049,0,0,84,234
디스톤골드연질캡슐,200202184,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900100,1,2,85,322
리리스정,200308619,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151853651029700064,1,3,86,46
콘로친300연질캡슐,200202185,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900094,1,2,87,322
케티맥스정100밀리그램(푸마르산쿠에티아핀),200709387,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500074,0,3,49,12874
헤모윈연질캡슐,200302360,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725972805200140,1,2,88,322
잔타놀정,200102789,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500080,1,0,89,322
푸로콜에스캡슐,200402892,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500107,1,2,90,322
한신타미놀캅셀(아세트아미노펜),200101951,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500118,1,0,91,322
아스노캅셀,200201781,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500121,1,3,92,322
아토스타정10밀리그램(아토르바스타틴칼슘삼수화물),200705825,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151914121291300080,2,0,93,6846
비텐지연질캡슐,200500735,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151914121291300098,1,1,94,322
라시핀정(라시디핀),200600140,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500189,2,0,95,8511
포스펜정,200607723,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500196,1,0,96,322
보령세파클러캡슐(세파클러수화물),200612598,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500199,1,6,97,322
리피다운캡슐60밀리그램(오르리스타트),200806047,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900075,1,5,98,322
아지탑스정250밀리그램(아지트로마이신수화물),200808168,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300032,2,0,99,322
수마트란정50밀리그램(수마트립탄숙신산염),200808280,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154151882208400080,1,3,100,312
바로디핀정5밀리그램(암로디핀베실산염),200808340,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706780504700036,3,0,101,233
사르반정80밀리그램(발사르탄),200808653,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154298766464500059,0,2,102,513
레보텍캡슐(레보드로프로피진),200808753,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426403087300083,1,2,103,322
로비텐연질캡슐,200903697,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000001,2,2,104,322
맥스콜연질캡슐,200903698,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000004,1,2,105,322
속콜파워연질캡슐(수출용),200903727,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700019,1,2,106,322
쿨드림연질캡슐(디펜히드라민염산염),200903737,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000023,2,5,107,322
긴코센정120밀리그램(은행엽건조엑스),200903776,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000031,0,5,108,322
칼루타미정150밀리그램(비칼루타미드),200903782,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000034,0,0,12,434
씨탈정(에스시탈로프람옥살산염),200903829,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000040,2,0,109,322
미가드정2.5밀리그램(프로바트립탄숙신산염일수화물),200903830,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151922765025100029,0,0,110,462
마이녹실에스캡슐,200903837,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706772283900015,1,3,111,322
비알칸다플러스정,200903842,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000052,1,3,112,46
변락소정,200903850,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000055,0,3,113,322
콜리브정,200903851,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000058,1,0,114,6807
지르세틴정10밀리그램(세티리진염산염),200903876,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200016,2,3,115,322
실리웰골드연질캡슐(밀크시슬열매건조엑스),200903891,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000067,1,2,116,322
디펜에이정,200903912,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400089,1,3,117,12875
로큅정0.25밀리그램(로피니롤염산염),200903964,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333323956000098,4,0,118,12876
칼인비연질캡슐,200903969,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv5PQjxq6v,1,1,119,322
칸데모어정16밀리그램(칸데사르탄실렉세틸),200903974,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MtVfJYNxry,0,2,120,12
코큐모아연질캡슐,200903986,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000094,1,1,121,322
칼본큐포르테플러스 연질캡슐,200903987,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148725977858300030,1,1,122,322
로큅정1밀리그램(로피니롤염산염),200903993,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661642891600062,4,3,118,2431
덴타칸캡슐,200904003,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000106,1,5,123,322
바로자미연질캡슐(디펜히드라민염산염),200904019,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661657839800057,2,5,124,322
알벤프리졸정(알벤다졸),200904073,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000124,1,3,125,322
로노펜300연질캡슐(덱시부프로펜),200904082,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000130,2,4,126,322
이모돌정(옥수수불검화정량추출물),200904122,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148665483160200178,1,3,127,322
칸데플러스정,200904162,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426422478000148,1,3,128,322
프릴리지정60밀리그램(다폭세틴염산염),200905961,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086600026,0,6,129,322
프로코라란정5밀리그램(이바브라딘염산염),200906066,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154597935837700008,2,3,130,4004
프로코라란정7.5밀리그램(이바브라딘염산염),200906065,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152829795999100098,5,3,131,4004
뉴피오정(피오글리타존염산염),200906578,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400110,0,0,132,5874
칸다이플러스정,200905935,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400113,2,3,133,46
페이론캡슐(아미노벤조산칼륨),200906062,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400116,1,0,134,322
레복사신정250밀리그램(레보플록사신수화물),200905938,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400125,1,2,135,5816
아트로졸정(아나스트로졸),200905455,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400131,0,0,136,1517
피륵산정200밀리그램(부플로메딜인산피리독살),200906061,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333342488200046,1,3,137,322
클라리틴정(로라타딘),200905692,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148609556259100171,2,0,138,322
세자르플러스프로정,200905939,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400143,2,0,139,46
칸데사플러스정,200905876,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400149,1,3,140,46
애드릴정5밀리그램(이미다프릴염산염),200905929,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MnfO1MV_5S,0,0,141,322
에피스캡슐,200906079,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400161,1,2,142,322
판토마그정,200905591,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426445026400182,1,0,143,322
트랜미정,200906073,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6I4D,0,0,144,322
써큐징코연질캡슐(수출용),200905776,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900006,2,1,145,322
로페란캡슐,200905600,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900017,1,3,146,322
이모나에프캡슐(수출용),200905651,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032606603100011,1,6,147,322
큐크린정,200905675,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900032,0,3,148,309
콘탑정,200905551,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900035,1,2,149,322
덱시쿨펜연질캡슐(덱시부프로펜),200905597,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900045,2,2,150,322
메디큐텐정,200905601,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900055,1,2,151,5097
러지펜정,200905926,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900083,0,3,152,5816
비타모니에이스연질캡슐,200905479,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900093,1,3,153,322
비타올큐연질캡슐,200905514,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661654875400059,1,2,154,322
쎌크비타연질캡슐(수출용),200905586,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900104,1,2,155,322
덱시브연질캡슐(덱시부프로펜),200905658,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900107,2,4,156,322
덱시카이플러스연질캡슐(덱시부프로펜),200905472,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/146032442560400084,2,4,157,322
메타러정,200905927,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900125,1,0,158,322
토코네슘연질캡슐,200905562,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900131,1,2,159,322
알지엔스피드연질캡슐10밀리그램(세티리진염산염),200905653,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900136,2,7,160,322
산도스프라미펙솔정0.25밀리그램(프라미펙솔염산염),200906608,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700128,2,0,161,12877
에스케이코스카플러스프로정,200906613,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Nqf2BSxndn,2,0,162,6236
원살탄플러스프로정,200906602,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900164,2,0,163,12878
산도스프라미펙솔정1밀리그램(프라미펙솔염산염),200906611,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700122,0,0,161,12879
라파뮨정2밀리그램(시롤리무스),200906599,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426450252900186,5,3,164,322
산도스프라미펙솔정0.5밀리그램(프라미펙솔염산염),200906610,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035082651700134,2,0,161,12880
레보세린정(레보세티리진염산염),200906585,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152292786176700113,2,0,165,297
리비알정(티볼론),200906557,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NW2jyerdY6,0,3,166,8258
제니낙스정200밀리그램(가레녹사신메실산염수화물),200906593,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800007,3,3,167,12881
산도스프라미펙솔정0.125밀리그램(프라미펙솔염산염),200906609,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800010,0,0,49,12882
일양로자탄플러스프로정,200906584,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154333333086500016,2,0,168,1021
로나센정2밀리그램(블로난세린)/ 로나센정4밀리그램(블로난세린),200906540,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MrmYmlR4oU,0,0,169,6970
로핀플러스프로정,200906528,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800025,2,0,168,46
에이포겔류마정(하르파고피툼근추출물),200906562,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800028,2,0,170,322
로펜정(방풍통성산건조엑스(4.6→1)),200906531,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800034,6,3,171,46
훼리너프에프캡슐,200906473,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800040,1,2,172,322
그날엔큐정,200906330,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151706776344700049,0,0,173,322
케라민캡슐,200906384,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68AP,1,3,174,322
씨렉신캡슐(은교산건조엑스 8.16→1),200906497,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800054,1,2,175,322
솔라제정(프로나제B),200906462,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/150834130612500018,0,0,176,322
에피니틴캡슐,200906274,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800063,1,2,177,322
모아리버골드연질캡슐,200906105,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627800074,1,1,178,322
글로알벤다졸정(알벤다졸),200906094,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900000,2,7,179,46
덴탑플러스캡슐,200906301,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6FDp,1,2,180,322
알러샷연질캡슐(세티리진염산염),200906254,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918800015,2,7,181,322
쎄로켈서방정150밀리그램(쿠에티아핀푸마르산염),200906719,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N9r98JmP7c,1,0,182,322
씨렉신정(은교산연조엑스 4.08→1),200906794,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900021,1,4,183,322
더마화이트정,200906642,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900033,0,0,184,949
제로정150mg(덱시부프로펜),200906966,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6OTx,7,6,185,12063
클라빅신정(클로피도그렐황산수소염),200907189,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900042,0,2,186,309
제이더블유신약로잘탄플러스프로정,200907170,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426455627900045,2,0,187,12883
